Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8110236220472441,0.44462570986060923,0.3456416123921845,0.3627154311286327,0.8087879847172375
Random Forest,0.8372703412073491,0.41253132832080197,0.3879809892624538,0.3909107039981565,0.7825959367335323
XGBoost,0.821522309711286,0.417078410311493,0.39253828551311387,0.400667382644963,0.7675184611708931
